Number,Name,Year
1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Dark Knight,2008
4,Schindler's List,1993
5,12 Angry Men,1957
6,The Lord of the Rings: The Return of the King,2003
7,The Godfather Part II,1974
8,Spider-Man: Across the Spider-Verse,2023
9,Pulp Fiction,1994
10,Oppenheimer,2023
11,Inception,2010
12,The Lord of the Rings: The Fellowship of the Ring,2001
13,Fight Club,1999
14,Forrest Gump,1994
15,"Il buono, il brutto, il cattivo",1966
16,The Lord of the Rings: The Two Towers,2002
17,Interstellar,2014
18,GoodFellas,1990
19,The Matrix,1999
20,One Flew Over the Cuckoo's Nest,1975
21,Star Wars: Episode V - The Empire Strikes Back,1980
22,Se7en,1995
23,Saving Private Ryan,1998
24,The Silence of the Lambs,1991
25,Terminator 2: Judgment Day,1991
26,The Green Mile,1999
27,Star Wars,1977
28,Sen to Chihiro no kamikakushi,2001
29,Cidade de Deus,2002
30,La vita è bella,1997
31,It's a Wonderful Life,1946
32,Shichinin no samurai,1954
33,Seppuku,1962
34,The Prestige,2006
35,The Departed,2006
36,Gladiator,2000
37,Alien,1979
38,Back to the Future,1985
39,Gisaengchung,2019
40,Whiplash,2014
41,Léon,1994
42,The Pianist,2002
43,The Usual Suspects,1995
44,The Lion King,1994
45,American History X,1998
46,The Intouchables,2011
47,Casablanca,1942
48,Psycho,1960
49,Once Upon a Time in the West,1968
50,Hotaru no haka,1988
